Megaman Xtreme version EUR Game Boy / Game Boy Color Mega Man Xtreme;89,00 EUR;+32,00 EUR shipping;from Netherlands;
Nintendo Game Boy Color - Mega Man Xtreme 2 (UNTESTED);34,18 EUR;+4,23 EUR shipping;from United States;
Mega Man Xtreme 2 Nintendo Game Boy Color, 2001 RARE GBC Tested saves READ;42,69 EUR;+4,79 EUR shipping;from United States;
Mega Man Xtreme 2 (Nintendo GameBoy Color) -- Complete in Box -- Tested;183,71 EUR;from United States;
Mega Man Xtreme 2 Gameboy Color Manual Only MegaMan Game Boy see photos ;30,77 EUR;+3,55 EUR shipping;from United States;
Mega Man Xtreme 2 (Nintendo Game Boy Color, 2001) Authentic Tested;33,78 EUR;+6,76 EUR shipping;from Canada;
Mega Man Xtreme - Original Nintendo GameBoy Color Game;47,00 EUR;+2,52 EUR shipping;from United States;
Mega Man Xtreme 2 Nintendo Game Boy Color *Authentic*;34,18 EUR;+3,63 EUR shipping;from United States;
Mega Man Xtreme 2 (Nintendo GameBoy Color) -- Complete in Box -- Authentic;213,62 EUR;from United States;
Mega Man Xtreme 2 Nintendo Gameboy Color Tested Authentic Saves;30,76 EUR;Free shipping;from United States;
Mega Man Xtreme 2 (Nintendo Game Boy Color, 2001) RARE GBC, CULT CLASSIC GAME!;59,78 EUR;+3,68 EUR shipping;from United States;
Mega Man Xtreme (Nintendo Game Boy Color, 2001);29,75 EUR;+1,35 EUR shipping;from Canada;
Mega Man Xtreme 2 (Nintendo GameBoy Color) [Authentic Game Cartridge];27,02 EUR;+8,08 EUR shipping;from Canada;
Gameboy & Gameboy Color Games. 9 Game Lot. Mega Man Xtreme, SMB Deluxe. Nintendo;60,86 EUR;+20,29 EUR shipping;from Canada;
Mega Man Xtreme 2 (Nintendo Gameboy Color GBC) Cart Only Game Boy FAIR MegaMan;27,34 EUR;Free shipping;from United States;
Mega Man Xtreme (Nintendo Game Boy Color, 2001);34,19 EUR;+2,99 EUR shipping;from Puerto Rico;
Mega Man Xtreme 2 GAMEBOY Color Japan Ver.;94,84 EUR;+17,09 EUR shipping;from Japan;
Vintage Nintendo Gameboy Color Mega Man Xtreme 2 Authentic Tested & Working;42,69 EUR;Free shipping;from United States;
Mega Man Xtreme (Nintendo Game Boy Color, 2001) TESTED!;34,14 EUR;+3,59 EUR shipping;from United States;
Mega Man Xtreme GAMEBOY Color Japan Ver.;65,56 EUR;+17,09 EUR shipping;from Japan;
Mega Man Xtreme Game Boy Pal;13,50 EUR;+9,00 EUR shipping;from Spain;
